=== NEW SORT RESULT ===
Bus{number='2', model='3', mileage=3}
Bus{number='Number919', model='Model919', mileage=17158}
Bus{number='Number92', model='Model92', mileage=45779}
Bus{number='Number920', model='Model920', mileage=59524}
Bus{number='Number921', model='Model921', mileage=66633}
Bus{number='Number922', model='Model922', mileage=96002}
Bus{number='Number923', model='Model923', mileage=60944}
Bus{number='Number924', model='Model924', mileage=1556}
Bus{number='Number925', model='Model925', mileage=32789}
Bus{number='Number926', model='Model926', mileage=72058}
Bus{number='Number927', model='Model927', mileage=41020}
Bus{number='Number928', model='Model928', mileage=95850}
Bus{number='Number929', model='Model929', mileage=56329}
Bus{number='Number93', model='Model93', mileage=5533}
Bus{number='Number930', model='Model930', mileage=70371}
Bus{number='Number931', model='Model931', mileage=13407}
Bus{number='Number932', model='Model932', mileage=15976}
Bus{number='Number933', model='Model933', mileage=23540}
Bus{number='Number934', model='Model934', mileage=94124}
Bus{number='Number935', model='Model935', mileage=99049}
Bus{number='Number936', model='Model936', mileage=97602}
Bus{number='Number937', model='Model937', mileage=14768}
Bus{number='Number938', model='Model938', mileage=19524}
Bus{number='Number939', model='Model939', mileage=56344}
Bus{number='Number94', model='Model94', mileage=83}
Bus{number='Number940', model='Model940', mileage=95276}
Bus{number='Number941', model='Model941', mileage=41513}
Bus{number='Number942', model='Model942', mileage=5954}
Bus{number='Number943', model='Model943', mileage=61352}
Bus{number='Number944', model='Model944', mileage=5990}
Bus{number='Number945', model='Model945', mileage=62874}
Bus{number='Number946', model='Model946', mileage=3347}
Bus{number='Number947', model='Model947', mileage=73052}
Bus{number='Number948', model='Model948', mileage=53815}
Bus{number='Number949', model='Model949', mileage=64640}
Bus{number='Number95', model='Model95', mileage=35402}
Bus{number='Number950', model='Model950', mileage=96424}
Bus{number='Number951', model='Model951', mileage=54873}
Bus{number='Number952', model='Model952', mileage=33912}
Bus{number='Number953', model='Model953', mileage=54713}
Bus{number='Number954', model='Model954', mileage=68524}
Bus{number='Number955', model='Model955', mileage=95684}
Bus{number='Number956', model='Model956', mileage=21326}
Bus{number='Number957', model='Model957', mileage=27080}
Bus{number='Number958', model='Model958', mileage=63931}
Bus{number='Number959', model='Model959', mileage=23536}
Bus{number='Number96', model='Model96', mileage=65175}
Bus{number='Number960', model='Model960', mileage=60250}
Bus{number='Number961', model='Model961', mileage=73230}
Bus{number='Number962', model='Model962', mileage=76915}
Bus{number='Number963', model='Model963', mileage=33664}
Bus{number='Number964', model='Model964', mileage=62822}
Bus{number='Number965', model='Model965', mileage=74676}
Bus{number='Number966', model='Model966', mileage=98174}
Bus{number='Number967', model='Model967', mileage=58615}
Bus{number='Number968', model='Model968', mileage=62988}
Bus{number='Number969', model='Model969', mileage=93171}
Bus{number='Number97', model='Model97', mileage=61835}
Bus{number='Number970', model='Model970', mileage=4887}
Bus{number='Number971', model='Model971', mileage=92827}
Bus{number='Number972', model='Model972', mileage=90655}
Bus{number='Number973', model='Model973', mileage=86228}
Bus{number='Number974', model='Model974', mileage=89323}
Bus{number='Number975', model='Model975', mileage=46592}
Bus{number='Number976', model='Model976', mileage=54046}
Bus{number='Number977', model='Model977', mileage=14721}
Bus{number='Number978', model='Model978', mileage=82738}
Bus{number='Number979', model='Model979', mileage=45057}
Bus{number='Number98', model='Model98', mileage=89834}
Bus{number='Number980', model='Model980', mileage=44098}
Bus{number='Number981', model='Model981', mileage=76624}
Bus{number='Number982', model='Model982', mileage=46237}
Bus{number='Number983', model='Model983', mileage=6761}
Bus{number='Number984', model='Model984', mileage=3720}
Bus{number='Number985', model='Model985', mileage=96367}
Bus{number='Number986', model='Model986', mileage=68363}
Bus{number='Number987', model='Model987', mileage=33181}
Bus{number='Number988', model='Model988', mileage=36863}
Bus{number='Number989', model='Model989', mileage=22808}
Bus{number='Number99', model='Model99', mileage=57883}
Bus{number='Number990', model='Model990', mileage=30350}
Bus{number='Number991', model='Model991', mileage=15858}
Bus{number='Number992', model='Model992', mileage=67620}
Bus{number='Number993', model='Model993', mileage=40493}
Bus{number='Number994', model='Model994', mileage=74284}
Bus{number='Number995', model='Model995', mileage=20893}
Bus{number='Number996', model='Model996', mileage=97931}
Bus{number='Number997', model='Model997', mileage=78641}
Bus{number='Number998', model='Model998', mileage=36892}
Bus{number='Number999', model='Model999', mileage=41965}

